"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-chrome_101_win10","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chromium_137_win11","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_137_win11","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_8_win7","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win10","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-edge_133_win11_23h2","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_ios_184","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_154_osx_1231","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_osx_154","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No connection","",""
"clientsimulation-java_80442","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_1102","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_1703","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_2106","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-go_1178","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_336","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-openssl_315","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-openssl_350","www.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
